Tier,Category,Title,Alternates,Reject (X)
Easy,TV,Ms. Marvel,,X
Easy,TV,She-Hulk: Attorney at Law,,X
Easy,TV,What If...?,,X
Easy,TV,Secret Invasion,,X
Easy,TV,Echo,,X
Easy,TV,Agatha All Along,,X
Easy,TV,X-Men '97,,X
Easy,Movie,Fear Street,,X
Easy,Movie,The Adam Project,,X
Easy,Movie,Free Guy,,
Easy,Movie,Red Notice,,
Easy,Movie,The Gray Man,,
Easy,Movie,6 Underground,,X
Easy,Movie,Extraction,,X
Easy,Movie,Triple Frontier,,X
Easy,Movie,Bullet Train,,X
Easy,Movie,Nobody,,X
Medium,Book,The Firm,,
Medium,Book,A Time to Kill,,
Medium,Book,The Pelican Brief,,
Medium,Book,The Client,,
Medium,Book,Skipping Christmas,,X
Medium,Book,Pet Sematary,,X
Medium,Book,Christine,,X
Medium,Book,Cujo,,X
Medium,Book,Firestarter,,X
Medium,Book,The Hunt for Red October,,
Medium,Book,Patriot Games,,
Medium,Book,Clear and Present Danger,,
Medium,Book,The Sum of All Fears,,
Medium,Book,Shopaholic Takes Manhattan,,
Medium,Book,Shopaholic Ties the Knot,,
Medium,Book,Can You Keep a Secret?,,
Medium,Book,Angels & Demons,Angels and Demons,
Medium,Book,Inferno,,
Medium,Book,The Lost World,,
Medium,Book,Congo,,
Medium,Book,Along Came a Spider,,
Medium,Book,Kiss the Girls,,
Medium,Book,The Pillars of the Earth,,
Medium,Book,Kane and Abel,,
Medium,Book,A Walk to Remember,,
Medium,Book,Dear John,,
Medium,Book,The Last Song,,
Medium,Book,Me Before You,,
Medium,Book,My Sister's Keeper,,X
Medium,Book,Nine Perfect Strangers,,
Medium,Book,P.S. I Love You,,
Medium,Book,And Then There Were None,,
Medium,Book,Death on the Nile,,
Medium,Book,Absolute Power,,
Medium,Book,Killing Floor,,
Medium,Movie,The Fugitive,,
Medium,Movie,Air Force One,,
Medium,Movie,Con Air,,
Medium,Movie,The Rock,,
Medium,Movie,Ocean's Twelve,,
Medium,Movie,Ocean's 8,,
Medium,Movie,Knives Out,,
Medium,Movie,Glass Onion: A Knives Out Mystery,Glass Onion,
Medium,Movie,Clue,,X
Medium,TV,Reacher,,
Medium,TV,The Lincoln Lawyer,,
Medium,TV,Only Murders in the Building,,
Medium,TV,Death in Paradise,,
Medium,Movie,The Vow,,
Medium,Movie,Serendipity,,X
Medium,Movie,About Time,,
Medium,Movie,Yesterday,,
Medium,Movie,Miss Congeniality,,
Medium,Movie,My Big Fat Greek Wedding,,
Medium,Movie,March of the Penguins,,
Medium,Movie,The Bodyguard,,
Medium,Movie,Ghost,,
Medium,Movie,Sixteen Candles,,
Medium,Movie,The Breakfast Club,,
Medium,Movie,Pretty in Pink,,
Medium,Movie,Weird Science,,
Medium,Movie,Say Anything...,,X
Medium,Movie,10 Things I Hate About You,,
Medium,Movie,She's the Man,,
Medium,Movie,Easy A,,
Medium,Movie,To All the Boys I've Loved Before,,X
Medium,Movie,The Kissing Booth,,X
Medium,Movie,Set It Up,,X
Medium,Movie,Always Be My Maybe,,X
Medium,Movie,Isn't It Romantic,,X
Medium,Movie,Trainwreck,,X
Medium,Movie,What Women Want,,
Medium,Movie,The Break-Up,,
Medium,Movie,Forgetting Sarah Marshall,,X
Medium,Movie,"I Love You, Man",,
Hard,Book,The Rainmaker,,
Hard,Book,The Chamber,,
Hard,Book,The Runaway Jury,Runaway Jury,
Hard,Book,The Partner,,
Hard,Book,The Street Lawyer,,
Hard,Book,The Testament,,
Hard,Book,A Painted House,,
Hard,Book,The Broker,,
Hard,Book,The Appeal,,
Hard,Book,The Confession,,
Hard,Book,Sycamore Row,,X
Hard,Book,Camino Island,,X
Hard,Book,The Reckoning,,
Hard,Book,The Stand,,
Hard,Book,Salem's Lot,,
Hard,Book,The Dark Tower,,
Hard,Book,11/22/63,,X
Hard,Book,Doctor Sleep,,X
Hard,Book,Under the Dome,,
Hard,Book,The Dead Zone,,X
Hard,Book,Mr. Mercedes,,X
Hard,Book,The Institute,,
Hard,Book,Fairy Tale,,
Hard,Book,Rainbow Six,,
Hard,Book,Without Remorse,,X
Hard,Book,Red Storm Rising,,X
Hard,Book,The Undomestic Goddess,,
Hard,Book,Remember Me?,,X
Hard,Book,I've Got Your Number,,
Hard,Book,The Lost Symbol,,
Hard,Book,Origin,,X
Hard,Book,Sphere,,X
Hard,Book,Timeline,,X
Hard,Book,Prey,,X
Hard,Book,Jack & Jill,Jack and Jill,
Hard,Book,Roses Are Red,,X
Hard,Book,Raise the Titanic,,X
Hard,Book,Sahara,,X
Hard,Book,Eye of the Needle,,X
Hard,Book,World Without End,,X
Hard,Book,Safe Haven,,X
Hard,Book,Message in a Bottle,,XX
Hard,Book,Nights in Rodanthe,,X
Hard,Book,The Lucky One,,X
Hard,Book,After You,,X
Hard,Book,Nineteen Minutes,,X
Hard,Book,The Husband's Secret,,X
Hard,Book,The Murder of Roger Ackroyd,,X
Hard,Book,The ABC Murders,,X
Hard,Book,Circle of Friends,,X
Hard,Book,Tell No One,,X
Hard,Book,Die Trying,,X
Hard,Book,The Enemy,,X
Hard,Book,One Shot,,X
Hard,Book,The Affair,,X
Hard,Book,Never Go Back,,X
Hard,Book,Make Me,,X
Hard,Movie,Basic Instinct,,
Hard,Movie,Sleeping with the Enemy,,
Hard,Movie,Face/Off,,
Hard,Movie,Enemy of the State,,
Hard,Movie,The Bourne Supremacy,,
Hard,Movie,The Bourne Ultimatum,,
Hard,Movie,Salt,,
Hard,Movie,Traffic,,
Hard,Movie,Sicario,,X
Hard,Movie,Ocean's Thirteen,,
Hard,Movie,Inside Man,,
Hard,Movie,The Sting,,
Hard,Movie,The Prestige,,
Hard,Movie,Shutter Island,,
Hard,Movie,The Girl on the Train,,
Hard,Movie,The Girl with the Dragon Tattoo,,
Hard,TV,Jack Ryan,,
Hard,TV,Bosch,,X
Hard,TV,Presumed Innocent,,X
Hard,TV,Fool Me Once,,X
Hard,Movie,"Definitely, Maybe",Definitely Maybe,X
Hard,Movie,The Time Traveler's Wife,,X
Hard,Movie,Bridget Jones: The Edge of Reason,,X
Hard,Movie,Runaway Bride,,X
Hard,Movie,Eat Pray Love,,
Hard,Movie,Into the Wild,,X
Hard,Movie,127 Hours,,X
Hard,Movie,Everest,,
Hard,Movie,Super Size Me,,X
Hard,Movie,An Inconvenient Truth,,
Hard,Movie,A Most Wanted Man,,
Hard,Movie,Our Kind of Traitor,,
Hard,Movie,The Tailor of Panama,,
Hard,Movie,The Ipcress File,,
Hard,Movie,Funeral in Berlin,,
Hard,Movie,The Osterman Weekend,,
Hard,Movie,No Way Out,,
Hard,Movie,Ronin,,X
Hard,Movie,Proof of Life,,X
Hard,Movie,The Interpreter,,X
Hard,Movie,Blood Diamond,,X
Hard,Movie,Lord of War,,X
Hard,Movie,A Civil Action,,X
Hard,Movie,Michael Clayton,,X
Hard,Movie,The Insider,,X
Hard,Movie,Dark Waters,,X
Hard,Movie,Primal Fear,,X
Hard,Movie,Just Cause,,X
Hard,Movie,Jagged Edge,,X
Hard,Movie,Sleepers,,X
Hard,Movie,The Verdict,,X
Hard,Movie,Anatomy of a Murder,,X
Hard,Movie,Witness for the Prosecution,,X
Hard,Movie,Compulsion,,X
Hard,Movie,Judgment at Nuremberg,,X
Hard,Movie,Amistad,,X
Hard,Movie,Gorky Park,,
Hard,Movie,The Fourth Protocol,,
Hard,Movie,Bridge of Spies,,
Hard,Movie,The Courier,,X
Hard,Movie,Red Joan,,X
Hard,Movie,Allied,,X
Hard,Movie,Charlie Wilson's War,,X
Hard,Movie,The Good Shepherd,,X
Hard,Movie,Breach,,X
Hard,Movie,Kill the Messenger,,X
Hard,Movie,Miss Sloane,,X
Hard,Movie,Eye in the Sky,,X
Hard,Movie,A Most Violent Year,,X
Hard,Movie,The Company You Keep,,X
Hard,Movie,Margin Call,,
Hard,Movie,Arbitrage,,X
Hard,Movie,Rogue Trader,,X
Hard,Movie,The Founder,,X
Hard,Movie,War Dogs,,X
Hard,Movie,American Made,,X
Hardest,Book,The Brethren,,X
Hardest,Book,The Summons,,X
Hardest,Book,The King of Torts,,X
Hardest,Book,The Last Juror,,X
Hardest,Book,The Innocent Man,,X
Hardest,Book,The Litigators,,X
Hardest,Book,Gray Mountain,,X
Hardest,Book,Rogue Lawyer,,X
Hardest,Book,The Guardians,,X
Hardest,Book,The Outsider,,X
Hardest,Book,Needful Things,,X
Hardest,Book,Different Seasons,,X
Hardest,Book,Gerald's Game,,X
Hardest,Book,Dolores Claiborne,,X
Hardest,Book,Bag of Bones,,X
Hardest,Book,Insomnia,,X
Hardest,Book,Desperation,,X
Hardest,Book,Lisey's Story,,X
Hardest,Book,Revival,,X
Hardest,Book,Finders Keepers,,X
Hardest,Book,Billy Summers,,X
Hardest,Book,Holly,,X
Hardest,Book,Debt of Honor,,X
Hardest,Book,Executive Orders,,X
Hardest,Book,The Bear and the Dragon,,X
Hardest,Book,Cardinal of the Kremlin,,X
Hardest,Book,Twenties Girl,,X
Hardest,Book,Wedding Night,,X
Hardest,Book,My Not So Perfect Life,,X
Hardest,Book,Surprise Me,,X
Hardest,Book,Love Your Life,,X
Hardest,Book,Digital Fortress,,X
Hardest,Book,Deception Point,,X
Hardest,Book,Airframe,,X
Hardest,Book,Disclosure,,X
Hardest,Book,Rising Sun,,X
Hardest,Book,State of Fear,,X
Hardest,Book,Cross,,X
Hardest,Book,The Big Bad Wolf,,X
Hardest,Book,Iceberg,,X
Hardest,Book,A Dangerous Fortune,,X
Hardest,Book,The Man from St. Petersburg,,X
Hardest,Book,Night Over Water,,X
Hardest,Book,First Among Equals,,
Hardest,Book,A Prisoner of Birth,,X
Hardest,Book,The Choice,,X
Hardest,Book,The Girl You Left Behind,,X
Hardest,Book,The Pact,,X
Hardest,Book,Small Great Things,,X
Hardest,Book,Truly Madly Guilty,,X
Hardest,Book,Apples Never Fall,,X
Hardest,Book,Watermelon,,X
Hardest,Book,Rachel's Holiday,,X
Hardest,Book,Five Little Pigs,,X
Hardest,Book,Evil Under the Sun,,X
Hardest,Book,Postmortem,,X
Hardest,Book,The Mermaids Singing,,X
Hardest,Book,Knots and Crosses,,
Hardest,Book,Death Comes to Pemberley,,X
Hardest,Book,A Judgement in Stone,,X
Hardest,Book,Zoya,,X
Hardest,Book,Hollywood Wives,,X
Hardest,Book,A Woman of Substance,,X
Hardest,Book,Tara Road,,X
Hardest,Book,Riders,,
Hardest,Book,Sharpe's Eagle,,X
Hardest,Book,The Camel Club,,X
Hardest,Book,Gone for Good,,X
Hardest,Book,No Second Chance,,X
Hardest,Book,Tripwire,,X
Hardest,Book,Echo Burning,,X
Hardest,Book,Without Fail,,X
Hardest,Book,Persuader,,X
Hardest,Book,The Hard Way,,X
Hardest,Book,Bad Luck and Trouble,,X
Hardest,Book,Nothing to Lose,,X
Hardest,Book,61 Hours,,X
Hardest,Book,Worth Dying For,,X
Hardest,Book,A Wanted Man,,X
Hardest,Book,Personal,,X
Hardest,Book,The Midnight Line,,X
Hardest,Book,Past Tense,,X
Hardest,Book,Blue Moon,,X
Hardest,Movie,A Simple Plan,,X
Hardest,Movie,U.S. Marshals,,X
Hardest,Movie,Broken Arrow,,X
Hardest,Movie,The Long Kiss Goodnight,,X
Hardest,Movie,The Peacemaker,,X
Hardest,Movie,Red Sparrow,,X
Hardest,Movie,Spy Game,,X
Hardest,Movie,The Recruit,,X
Hardest,Movie,Body of Lies,,X
Hardest,Movie,Syriana,,X
Hardest,Movie,Sicario: Day of the Soldado,,X
Hardest,Movie,Widows,,X
Hardest,Movie,American Hustle,,
Hardest,Movie,The Talented Mr. Ripley,,
Hardest,TV,Ripley,,
Hardest,TV,The Night Manager,,
Hardest,TV,Slow Horses,,
Hardest,TV,The Undoing,,
Hardest,TV,Mare of Easttown,,X
Hardest,TV,The Fall,,X
Hardest,TV,Marcella,,X
Hardest,TV,Unforgotten,,X
Hardest,TV,Grantchester,,
Hardest,TV,Shetland,,
Hardest,TV,The Missing,,X
Hardest,TV,Safe,,X
Hardest,TV,Behind Her Eyes,,X
Hardest,TV,Clickbait,,X
Hardest,TV,Alias Grace,,X
Hardest,TV,The Serpent,,X
Hardest,TV,Stay Close,,X
Hardest,TV,The Innocent,,X
Hardest,Movie,Sweet November,,X
Hardest,Movie,A Walk in the Clouds,,X
Hardest,Movie,Love and Other Drugs,,X
Hardest,Movie,Music and Lyrics,,X
Hardest,Movie,The Wedding Planner,,
Hardest,Movie,Maid in Manhattan,,
Hardest,Movie,The Best Exotic Marigold Hotel,,
Hardest,Movie,Under the Tuscan Sun,,X
Hardest,Movie,Wild,,X
Hardest,Movie,Alive,,X
Hardest,Movie,Touching the Void,,X
Hardest,Movie,Free Solo,,X
Hardest,Movie,Blackfish,,X
Hardest,Movie,Won't You Be My Neighbor?,,X
Hardest,Movie,The Social Dilemma,,X
Hardest,Movie,Icarus,,X
Hardest,Movie,Amy,,X
Hardest,Movie,Whitney,,X
Hardest,Movie,Summer of Soul,,X
Hardest,Movie,20 Feet from Stardom,,X
Hardest,Movie,Searching for Sugar Man,,X
Hardest,Movie,The Act of Killing,,X
Hardest,Movie,Man on Wire,,X
Hardest,Movie,Exit Through the Gift Shop,,X
Hardest,Movie,Fahrenheit 9/11,,X
Hardest,Movie,Bowling for Columbine,,X
Hardest,Movie,Grizzly Man,,X
Hardest,Movie,The Cove,,X
Hardest,Book,The Whistler,,X
Hardest,Book,The Rooster Bar,,X
Hardest,Book,Theodore Boone: Kid Lawyer,Theodore Boone,X
Hardest,Book,Sooley,,X
Hardest,Book,The Boys from Biloxi,,X
Hardest,Book,The Exchange,,X
Hardest,Book,Calico Joe,,X
Hardest,Book,Ford County,,X
Hardest,Book,The Judge's List,,X
Hardest,Book,From a Buick 8,,X
Hardest,Book,Duma Key,,X
Hardest,Book,Rose Madder,,X
Hardest,Book,The Regulators,,X
Hardest,Book,The Girl Who Loved Tom Gordon,,X
Hardest,Book,Cell,,X
Hardest,Book,Joyland,,X
Hardest,Book,End of Watch,,X
Hardest,Book,Op-Center,,X
Hardest,Book,Every Breath,,X
Hardest,Book,Chasing the Dime,,X
Hardest,Book,Void Moon,,X
Hardest,Book,The Poet,,X
Hardest,Book,Blood Work,,X
Hardest,Book,The Scarecrow,,X
Hardest,Book,The Overlook,,X
Hardest,Book,Nine Dragons,,X
Hardest,Book,The Reversal,,X
Hardest,Book,The Fifth Witness,,X
Hardest,Book,The Gods of Guilt,,X
Hardest,Book,The Wrong Side of Goodbye,,X
Hardest,Book,Two Kinds of Truth,,X
Hardest,Book,Dark Sacred Night,,X
Hardest,Book,The Night Fire,,X
Hardest,Book,Fair Warning,,X
Hardest,Book,The Dark Hours,,X
Hardest,Book,Desert Star,,X
Hardest,Book,Mini Shopaholic,,X
Hardest,Book,Shopaholic to the Stars,,X
Hardest,Book,Shopaholic to the Rescue,,X
Hardest,Book,Christmas Shopaholic,,X
Hardest,Book,Shopaholic's Baby,Shopaholic and Baby,X
Hardest,Book,Finding Audrey,,X
Hardest,Book,Sleeping Arrangements,,X
Hardest,Book,The Party Crasher,,X
Hardest,Book,The Burnout,,X
Hardest,Book,Cocktails for Three,,X
Hardest,Book,Sisterland,,X
Hardest,Book,Someone Else's Skin,,X
Hardest,Book,The Vanishing Half,,X
Hardest,Book,Little Fires Everywhere,,X
Hardest,Book,Where the Crawdads Sing,,X
Hardest,Book,The Silent Patient,,X
Hardest,Book,Verity,,X
Hardest,Book,It Ends with Us,It Ends With Us,X
Hardest,Book,Ugly Love,,X
Hardest,Book,Nov-09,,X
Hardest,Book,Reminders of Him,,X
Hardest,Book,Twisted Love,,X
Hardest,Book,The Housemaid,,X
Hardest,Book,The Guest List,,X
Hardest,Book,Then She Was Gone,,X
Hardest,Book,The Couple Next Door,,X
Hardest,Book,Behind Closed Doors,,X
Hardest,Book,The Wife Between Us,,X
Hardest,Book,An Anonymous Girl,,X
Hardest,Book,The Woman in the Window,,X
Hardest,Book,The Woman in Cabin 10,,X
Hardest,Book,"In a Dark, Dark Wood",In a Dark Dark Wood,X
Hardest,Book,The Turn of the Key,,X
Hardest,Book,One by One,,X
Hardest,Book,The Death of Mrs. Westaway,The Death of Mrs Westaway,X
Hardest,Book,The Lying Game,,X
Hardest,Book,Sometimes I Lie,,X
Hardest,Book,The Chain,,X
Hardest,Book,Home Before Dark,,X
Hardest,Book,The Last Time I Lied,,X
Hardest,Book,The Perfect Stranger,,X
Hardest,Book,All the Missing Girls,,X
Hardest,Book,Local Woman Missing,,X
Hardest,Book,The Last Mrs. Parrish,The Last Mrs Parrish,X
Hardest,Book,The Silent Wife,,X
Hardest,Book,The Family Upstairs,,X
Hardest,Book,Big Sky,,X
Hardest,Book,Case Histories,,X
Hardest,Book,One Good Turn,,X
Hardest,Book,When Will There Be Good News?,,X
Hardest,Book,"Started Early, Took My Dog",,X
Hardest,Book,A God in Ruins,,X
Hardest,Book,Life After Life,,X
Hardest,Book,Transcription,,X
Hardest,Book,Shuggie Bain,,X
Hardest,Book,Normal People,,X
Hardest,Book,Conversations with Friends,,X
Hardest,Book,"Beautiful World, Where Are You",,X
Hardest,Book,Eleanor Oliphant Is Completely Fine,,X
Hardest,Book,The Rosie Project,,X
Hardest,Book,Bridget Jones: Mad About the Boy,,X
Hardest,Book,Olive Kitteridge,,X
Hardest,Book,"Olive, Again",,X
Hardest,Book,A Man Called Ove,,X
Hardest,Book,Anxious People,,X
Hardest,Book,Beartown,,X
Hardest,Book,Us Against You,,X
Hardest,Book,The Winners,,X
Hardest,Book,My Grandmother Asked Me to Tell You She's Sorry,,X
Hardest,Book,Britt-Marie Was Here,,X
Hardest,Book,And the Mountains Echoed,,X
Hardest,Book,The Nightingale,,X
Hardest,Book,The Great Alone,,X
Hardest,Book,Firefly Lane,,X
Hardest,Book,Winter Garden,,X
Hardest,Book,The Four Winds,,X
Hardest,Book,Pachinko,,X
Hardest,Book,Homegoing,,X
Hardest,Book,Such a Fun Age,,X
Hardest,Book,The Immortalists,,X
Hardest,Book,Educated,,X
