Set,Slot,Tier,Category,Title,Alternates,Reject (X)
42,2,Medium,Movie,Walk the Line,,
42,3,Hard,Movie,Out of Africa,,
42,4,Hardest,Book,The Blind Assassin,,X
43,1,Easy,Movie,Luca,,X
43,2,Medium,Movie,Ray,,
43,3,Hard,Movie,The Last Emperor,,
43,4,Hardest,Book,Oryx and Crake,,X
44,1,Easy,Movie,Turning Red,,X
44,2,Medium,Movie,8 Mile,,
44,3,Hard,Movie,Rain Man,,
44,4,Hardest,Book,Cat's Eye,,X
45,1,Easy,Movie,Onward,,X
45,2,Medium,Movie,Straight Outta Compton,,
45,3,Hard,Movie,Glory,,
45,4,Hardest,Book,Bring Up the Bodies,,X
46,1,Easy,Movie,Soul,,
46,2,Medium,Movie,The Blind Side,,X
46,3,Hard,Movie,JFK,,
46,4,Hardest,Book,The Mirror and the Light,,
47,1,Easy,Movie,Elemental,,
47,2,Medium,Movie,Remember the Titans,,
47,3,Hard,Movie,Unforgiven,,
47,4,Hardest,Book,A Suitable Boy,,
48,1,Easy,Movie,The Boss Baby,,
48,2,Medium,Movie,Coach Carter,,X
48,3,Hard,Movie,The Piano,,
48,4,Hardest,Book,Midnight's Children,,X
49,1,Easy,Movie,Hotel Transylvania,,
49,2,Medium,Movie,Miracle,,X
49,3,Hard,Movie,Legends of the Fall,,
49,4,Hardest,Book,The Satanic Verses,,
50,1,Easy,Movie,Puss in Boots,,
50,2,Medium,Movie,Moneyball,,
50,3,Hard,Movie,The English Patient,,
50,4,Hardest,Book,Shame,,X
51,1,Easy,Movie,Kung Fu Panda 2,,X
51,2,Medium,Movie,Rudy,,X
51,3,Hard,Movie,The Thin Red Line,,X
51,4,Hardest,Book,The God of Small Things,,
52,1,Easy,Movie,Frozen II,Frozen 2,X
52,2,Medium,Movie,Field of Dreams,,
52,3,Hard,Movie,American Beauty,,
52,4,Hardest,Book,The White Tiger,,X
53,1,Easy,Movie,Spider-Man,,
53,2,Medium,Movie,A League of Their Own,,
53,3,Hard,Movie,Magnolia,,
53,4,Hardest,Book,The Sympathizer,,X
54,1,Easy,Movie,Spider-Man 2,,X
54,2,Medium,Movie,Rocky IV,,X
54,3,Hard,Movie,Boogie Nights,,X
54,4,Hardest,Book,The Namesake,,
55,1,Easy,Movie,Spider-Man: Into the Spider-Verse,Into the Spider-Verse,X
55,2,Medium,Movie,Creed,,
55,3,Hard,Movie,Being John Malkovich,,
55,4,Hardest,Book,Interpreter of Maladies,,X
56,1,Easy,Movie,Batman Begins,,X
56,2,Medium,Movie,Warrior,,
56,3,Hard,Movie,Adaptation,,
56,4,Hardest,Book,A Fine Balance,,
57,1,Easy,Movie,The Dark Knight,,
57,2,Medium,Movie,Million Dollar Baby,,
57,3,Hard,Movie,Eternal Sunshine of the Spotless Mind,,
57,4,Hardest,Book,In the Skin of a Lion,,X
58,1,Easy,Movie,Superman,,
58,2,Medium,Movie,Whiplash,,
58,3,Hard,Movie,Requiem for a Dream,,X
58,4,Hardest,Book,Disgrace,,X
59,1,Easy,Movie,Iron Man,,
59,2,Medium,Movie,Good Will Hunting,,
59,3,Hard,Movie,Trainspotting,,
59,4,Hardest,Book,Waiting for the Barbarians,,
60,1,Easy,Movie,The Avengers,,
60,2,Medium,Movie,Dead Poets Society,,
60,3,Hard,Movie,The Full Monty,,
60,4,Hardest,Book,Life & Times of Michael K,,X
61,1,Easy,Movie,Avengers: Endgame,Endgame,X
61,2,Medium,Movie,A Beautiful Mind,,
61,3,Hard,Movie,Billy Elliot,,
61,4,Hardest,Book,"The Sea, the Sea",,X
62,1,Easy,Movie,Wonder Woman,,
62,2,Medium,Movie,The Imitation Game,,
62,3,Hard,Movie,East Is East,,
62,4,Hardest,Book,A Severed Head,,X
63,1,Easy,Movie,Black Panther,,
63,2,Medium,Movie,Hidden Figures,,
63,3,Hard,Movie,Bend It Like Beckham,,
63,4,Hardest,Book,The Golden Notebook,,X
64,1,Easy,Movie,Guardians of the Galaxy,,
64,2,Medium,Movie,The Theory of Everything,,
64,3,Hard,Movie,This Is England,,
64,4,Hardest,Book,Homage to Catalonia,,X
65,1,Easy,Movie,Thor,,
65,2,Medium,Movie,The Social Network,,
65,3,Hard,Movie,Kes,,
65,4,Hardest,Book,Down and Out in Paris and London,,X
66,1,Easy,Movie,Captain America: The First Avenger,Captain America,X
66,2,Medium,Movie,Steve Jobs,,
66,3,Hard,Movie,Withnail and I,,
66,4,Hardest,Book,The Road to Wigan Pier,,
67,1,Easy,Movie,X-Men,,
67,2,Medium,Movie,The Big Short,,
67,3,Hard,Movie,Barry Lyndon,,
67,4,Hardest,Book,Brave New World Revisited,,X
68,1,Easy,Movie,Deadpool,,
68,2,Medium,Movie,Catch Me If You Can,,
68,3,Hard,Movie,2001: A Space Odyssey,,
68,4,Hardest,Book,We,,X
69,1,Easy,Movie,Aquaman,,
69,2,Medium,Movie,The Terminal,,
69,3,Hard,Movie,Solaris,,X
69,4,Hardest,Book,The Castle,,
70,1,Easy,Movie,The Flash,,
70,2,Medium,Movie,Schindler's List,,
70,3,Hard,Movie,Stalker,,
70,4,Hardest,Book,Amerika,,
71,1,Easy,Movie,Justice League,,
71,2,Medium,Movie,Saving Private Ryan,,
71,3,Hard,Movie,Metropolis,,
71,4,Hardest,Book,In the Penal Colony,,X
72,1,Easy,Movie,Wolverine,X-Men Origins: Wolverine,
72,2,Medium,Movie,Dunkirk,,
72,3,Hard,Movie,Nosferatu,,
72,4,Hardest,Book,The Stranger,L'Étranger,X
73,1,Easy,Movie,Ant-Man,,
73,2,Medium,Movie,1917,,X
73,3,Hard,Movie,The Cabinet of Dr. Caligari,,X
73,4,Hardest,Book,The Plague,,X
74,1,Easy,Movie,Doctor Strange,,
74,2,Medium,Movie,Hacksaw Ridge,,
74,3,Hard,Movie,M,,X
74,4,Hardest,Book,The Myth of Sisyphus,,X
75,1,Easy,Movie,Captain Marvel,,
75,2,Medium,Movie,Full Metal Jacket,,
75,3,Hard,Movie,Seven Samurai,,
75,4,Hardest,Book,Nausea,,X
76,1,Easy,Movie,Shazam!,Shazam,
76,2,Medium,Movie,Apocalypse Now,,
76,3,Hard,Movie,Rashomon,,X
76,4,Hardest,Book,No Exit,,X
77,1,Easy,Movie,The Incredible Hulk,,
77,2,Medium,Movie,Platoon,,
77,3,Hard,Movie,Ikiru,,
77,4,Hardest,Book,Waiting for Godot,,
78,1,Easy,Movie,Batman v Superman: Dawn of Justice,Batman v Superman,
78,2,Medium,Movie,Black Hawk Down,,
78,3,Hard,Movie,Yojimbo,,X
78,4,Hardest,Book,Rhinoceros,,
79,1,Easy,Movie,Joker,,
79,2,Medium,Movie,American Sniper,,
79,3,Hard,Movie,Ran,,X
79,4,Hardest,Book,The Bald Soprano,,X
80,1,Easy,Movie,Venom,,
80,2,Medium,Movie,Braveheart,,
80,3,Hard,Movie,Tokyo Story,,
80,4,Hardest,Book,Death of a Salesman,,
81,1,Easy,Movie,The Amazing Spider-Man,,X
81,2,Medium,Movie,Gladiator,,
81,3,Hard,Movie,8½,8 1/2,X
81,4,Hardest,Book,The Crucible,,
82,1,Easy,Movie,Man of Steel,,X
82,2,Medium,Movie,300,,
82,3,Hard,Movie,La Dolce Vita,,
82,4,Hardest,Book,A View from the Bridge,,X
83,1,Easy,Movie,Avatar,,
83,2,Medium,Movie,Troy,,
83,3,Hard,Movie,Bicycle Thieves,,
83,4,Hardest,Book,All My Sons,,
84,1,Easy,Movie,Star Trek,,
84,2,Medium,Movie,Kingdom of Heaven,,
84,3,Hard,Movie,The Battle of Algiers,,
84,4,Hardest,Book,Cat on a Hot Tin Roof,,
85,1,Easy,Movie,Terminator 2: Judgment Day,Terminator 2,X
85,2,Medium,Movie,Robin Hood,,
85,3,Hard,Movie,Persona,,X
85,4,Hardest,Book,The Glass Menagerie,,
86,1,Easy,Movie,Alien,,
86,2,Medium,Movie,The Last Samurai,,
86,3,Hard,Movie,The Seventh Seal,,
86,4,Hardest,Book,Long Day's Journey Into Night,,X
87,1,Easy,Movie,Transformers,,
87,2,Medium,Movie,Pearl Harbor,,
87,3,Hard,Movie,Wild Strawberries,,
87,4,Hardest,Book,Who's Afraid of Virginia Woolf?,,
88,1,Easy,Movie,Men in Black,,
88,2,Medium,Movie,Munich,,
88,3,Hard,Movie,Breathless,,X
88,4,Hardest,Book,Angels in America,,X
89,1,Easy,Movie,Independence Day,,
89,2,Medium,Movie,Argo,,
89,3,Hard,Movie,Jules and Jim,,X
89,4,Hardest,Book,Hamlet,,
90,1,Easy,Movie,Star Wars: The Empire Strikes Back,The Empire Strikes Back,X
90,2,Medium,Movie,Zero Dark Thirty,,
90,3,Hard,Movie,The 400 Blows,,X
90,4,Hardest,Book,Macbeth,,
91,1,Easy,Movie,Star Wars: Return of the Jedi,Return of the Jedi,X
91,2,Medium,Movie,No Country for Old Men,,
91,3,Hard,Movie,Au Revoir les Enfants,,X
91,4,Hardest,Book,King Lear,,
92,1,Easy,Movie,Star Wars: The Force Awakens,The Force Awakens,X
92,2,Medium,Movie,There Will Be Blood,,
92,3,Hard,Movie,Three Colours: Blue,Three Colors: Blue,
92,4,Hardest,Book,Othello,,
93,1,Easy,Movie,Star Wars: The Phantom Menace,The Phantom Menace,X
93,2,Medium,Movie,The Departed,,
93,3,Hard,Movie,The Lives of Others,,X
93,4,Hardest,Book,The Tempest,,
94,1,Easy,Movie,Jurassic World,,
94,2,Medium,Movie,Goodfellas,,
94,3,Hard,Movie,Downfall,,
94,4,Hardest,Book,A Midsummer Night's Dream,,
95,1,Easy,Movie,The Lord of the Rings: The Fellowship of the Ring,Fellowship of the Ring;LOTR,X
95,2,Medium,Movie,Casino,,
95,3,Hard,Movie,Das Boot,,X
95,4,Hardest,Book,Much Ado About Nothing,,
96,1,Easy,Movie,The Lord of the Rings: The Two Towers,The Two Towers,X
96,2,Medium,Movie,Heat,,X
96,3,Hard,Movie,Wings of Desire,,X
96,4,Hardest,Book,Twelfth Night,,
97,1,Easy,Movie,The Lord of the Rings: The Return of the King,Return of the King,X
97,2,Medium,Movie,The Town,,X
97,3,Hard,Movie,Run Lola Run,,X
97,4,Hardest,Book,The Merchant of Venice,,
98,1,Easy,Movie,Harry Potter and the Chamber of Secrets,Chamber of Secrets,X
98,2,Medium,Movie,Se7en,Seven,
98,3,Hard,Movie,City of God,,
98,4,Hardest,Book,Julius Caesar,,
99,1,Easy,Movie,Harry Potter and the Prisoner of Azkaban,Prisoner of Azkaban,X
99,2,Medium,Movie,Zodiac,,
99,3,Hard,Movie,Central Station,,X
99,4,Hardest,Book,Antony and Cleopatra,,
100,1,Easy,Movie,Harry Potter and the Goblet of Fire,Goblet of Fire,X
100,2,Medium,Movie,Gone Girl,,
100,3,Hard,Movie,Amores Perros,,
100,4,Hardest,Book,Coriolanus,,
101,1,Easy,Movie,Harry Potter and the Deathly Hallows,Deathly Hallows,
101,2,Medium,Movie,Prisoners,,X
101,3,Hard,Movie,Y Tu Mamá También,Y Tu Mama Tambien,X
101,4,Hardest,Book,Titus Andronicus,,
102,1,Easy,Movie,King Kong,,
102,2,Medium,Movie,Fight Club,,
102,3,Hard,Movie,Volver,,X
102,4,Hardest,Book,Richard III,,
103,1,Easy,Movie,Godzilla,,
103,2,Medium,Movie,American Psycho,,
103,3,Hard,Movie,Talk to Her,,X
103,4,Hardest,Book,Henry V,,
104,1,Easy,Movie,Jumanji,,
104,2,Medium,Movie,The Silence of the Lambs,,
104,3,Hard,Movie,All About My Mother,,X
104,4,Hardest,Book,The Winter's Tale,,
105,1,Easy,Movie,The Mummy,,
105,2,Medium,Movie,Misery,,
105,3,Hard,Movie,The Piano Teacher,,
105,4,Hardest,Book,As You Like It,,
106,1,Easy,Movie,Night at the Museum,,
106,2,Medium,Movie,Carrie,,
106,3,Hard,Movie,Funny Games,,
106,4,Hardest,Book,The Faerie Queene,,X
107,1,Easy,Movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean,
107,2,Medium,Movie,Hereditary,,X
107,3,Hard,Movie,Amour,,X
107,4,Hardest,Book,Paradise Regained,,X
108,1,Easy,Movie,Willy Wonka & the Chocolate Factory,Willy Wonka,
108,2,Medium,Movie,Midsommar,,X
108,3,Hard,Movie,The White Ribbon,,X
108,4,Hardest,Book,The Pilgrim's Progress,,
109,1,Easy,Movie,Mary Poppins,,
109,2,Medium,Movie,The Witch,The VVitch,X
109,3,Hard,Movie,Ida,,X
109,4,Hardest,Book,Utopia,,X
110,1,Easy,Movie,Chicken Run,,
110,2,Medium,Movie,Us,,X
110,3,Hard,Movie,Cold War,,X
110,4,Hardest,Book,The Prince,,
111,1,Easy,TV,SpongeBob SquarePants,SpongeBob,X
111,2,Medium,Movie,Rosemary's Baby,,
111,3,Hard,Movie,Roma,,X
111,4,Hardest,Book,The Last Man,,
112,1,Easy,TV,Sesame Street,,
112,2,Medium,Movie,The Omen,,
112,3,Hard,Movie,The Handmaiden,,
112,4,Hardest,Book,The Monk,,X
113,1,Easy,TV,Paw Patrol,,
113,2,Medium,Movie,Poltergeist,,
113,3,Hard,Movie,Burning,,X
113,4,Hardest,Book,The Castle of Otranto,,X
114,1,Easy,TV,Peppa Pig,,
114,2,Medium,Movie,The Ring,,
114,3,Hard,Movie,Memories of Murder,,X
114,4,Hardest,Book,The Mysteries of Udolpho,,X
115,1,Easy,TV,Scooby-Doo,,
115,2,Medium,Movie,The Grudge,,X
115,3,Hard,Movie,Train to Busan,,X
115,4,Hardest,Book,Melmoth the Wanderer,,X
116,1,Easy,TV,Tom and Jerry,,
116,2,Medium,Movie,Insidious,,X
116,3,Hard,Movie,Snowpiercer,,
116,4,Hardest,Book,Uncle Tom's Cabin,,
117,1,Easy,TV,Looney Tunes,,
117,2,Medium,Movie,Annabelle,,
117,3,Hard,Movie,The Host,,
117,4,Hardest,Book,The Scarlet Letter,,
118,1,Easy,TV,Dora the Explorer,,
118,2,Medium,Movie,World War Z,,
118,3,Hard,Movie,A Separation,,X
118,4,Hardest,Book,The House of the Seven Gables,,
119,1,Easy,TV,The Powerpuff Girls,,
119,2,Medium,Movie,28 Days Later,,
119,3,Hard,Movie,The Salesman,,
119,4,Hardest,Book,Billy Budd,,
120,1,Easy,TV,Bluey,,
120,2,Medium,Movie,Zombieland,,
120,3,Hard,Movie,Timbuktu,,
120,4,Hardest,Book,"Bartleby, the Scrivener",,X
121,1,Easy,TV,Thomas & Friends,,X
121,2,Medium,Movie,Shaun of the Dead,,
121,3,Hard,Movie,Wild Tales,,X
121,4,Hardest,Book,The Adventures of Huckleberry Finn,Huckleberry Finn,
122,1,Easy,TV,Postman Pat,,
122,2,Medium,Movie,Hot Fuzz,,
122,3,Hard,Movie,The Secret in Their Eyes,,X
122,4,Hardest,Book,The Adventures of Tom Sawyer,Tom Sawyer,
123,1,Easy,Book,Winnie the Pooh,Winnie-the-Pooh,
123,2,Medium,Movie,The World's End,,
123,3,Hard,Movie,City Lights,,
123,4,Hardest,Book,A Connecticut Yankee in King Arthur's Court,,X
124,1,Easy,Book,Peter Rabbit,The Tale of Peter Rabbit,
124,2,Medium,Movie,Baby Driver,,
124,3,Hard,Movie,Modern Times,,
124,4,Hardest,Book,The Turn of the Screw,,
125,1,Easy,Book,Curious George,,X
125,2,Medium,Movie,Kingsman: The Secret Service,Kingsman,
125,3,Hard,Movie,The Great Dictator,,
125,4,Hardest,Book,The Portrait of a Lady,,
126,1,Easy,TV,Rugrats,,
126,2,Medium,Movie,John Wick,,
126,3,Hard,Movie,Sherlock Jr.,,X
126,4,Hardest,Book,The Wings of the Dove,,X
127,1,Easy,TV,Arthur,,X
127,2,Medium,Movie,The Bourne Identity,,
127,3,Hard,Movie,The General,,X
127,4,Hardest,Book,The Golden Bowl,,X
128,1,Easy,TV,Blue's Clues,,X
128,2,Medium,Movie,Mr. & Mrs. Smith,,
128,3,Hard,Movie,A Trip to the Moon,,X
128,4,Hardest,Book,Washington Square,,
129,1,Easy,Movie,The Sound of Music,,
129,2,Medium,Movie,True Lies,,
129,3,Hard,Movie,Battleship Potemkin,,X
129,4,Hardest,Book,Ethan Frome,,X
130,1,Easy,Movie,Annie,,
130,2,Medium,Movie,Speed,,
130,3,Hard,Movie,The Gold Rush,,
130,4,Hardest,Book,The Age of Innocence,,
131,1,Easy,Movie,The Parent Trap,,
131,2,Medium,Movie,Die Hard 2,,X
131,3,Hard,Movie,Duck Soup,,
131,4,Hardest,Book,The House of Mirth,,X
132,1,Easy,Movie,Freaky Friday,,
132,2,Medium,Movie,Lethal Weapon,,
132,3,Hard,Movie,It Happened One Night,,X
132,4,Hardest,Book,Sister Carrie,,X
133,1,Easy,Movie,National Treasure,,
133,2,Medium,Movie,Point Break,,
133,3,Hard,Movie,Mr. Smith Goes to Washington,,
133,4,Hardest,Book,An American Tragedy,,X
134,1,Easy,Movie,The Princess Diaries,,
134,2,Medium,Movie,Top Gun,,
134,3,Hard,Movie,How Green Was My Valley,,X
134,4,Hardest,Book,Main Street,,X
135,1,Easy,Movie,The Karate Kid,,
135,2,Medium,Movie,Top Gun: Maverick,Maverick,
135,3,Hard,Movie,Notorious,,X
135,4,Hardest,Book,Babbitt,,X
136,1,Easy,Movie,Back to the Future Part II,Back to the Future 2,X
136,2,Medium,Movie,The Right Stuff,,
136,3,Hard,Movie,Shadow of a Doubt,,X
136,4,Hardest,Book,"Winesburg, Ohio",,X
137,1,Easy,Movie,Ferris Bueller's Day Off,,
137,2,Medium,Movie,Apollo 13,,
137,3,Hard,Movie,Strangers on a Train,,
137,4,Hardest,Book,The Beautiful and Damned,,X
138,1,Easy,Movie,The Goonies,,
138,2,Medium,Movie,Gravity,,
138,3,Hard,Movie,The Third Man,,
138,4,Hardest,Book,"Go Down, Moses",,X
139,1,Easy,TV,Modern Family,,
139,2,Medium,Movie,The Martian,,
139,3,Hard,Movie,Brief Encounter,,
139,4,Hardest,Book,The Hamlet,,X
140,1,Easy,TV,How I Met Your Mother,,
140,2,Medium,Movie,Interstellar,,
140,3,Hard,Movie,Kind Hearts and Coronets,,
140,4,Hardest,Book,A Death in the Family,,X
141,1,Easy,TV,Seinfeld,,
141,2,Medium,Movie,Arrival,,
141,3,Hard,Movie,The Ladykillers,,
141,4,Hardest,Book,All the King's Men,,X
142,1,Easy,TV,Cheers,,
142,2,Medium,Movie,Contact,,X
142,3,Hard,Movie,Whisky Galore!,,
142,4,Hardest,Book,The Adventures of Augie March,,X
143,1,Easy,TV,Frasier,,
143,2,Medium,Movie,Close Encounters of the Third Kind,,
143,3,Hard,Movie,Passport to Pimlico,,
143,4,Hardest,Book,Herzog,,X
144,1,Easy,TV,The Big Bang Theory,,
144,2,Medium,Movie,Blade Runner,,
144,3,Hard,Movie,A Matter of Life and Death,,
144,4,Hardest,Book,Humboldt's Gift,,X
145,1,Easy,TV,Brooklyn Nine-Nine,,X
145,2,Medium,Movie,Blade Runner 2049,,
145,3,Hard,Movie,Black Narcissus,,X
145,4,Hardest,Book,Seize the Day,,X
146,1,Easy,TV,Parks and Recreation,,
146,2,Medium,Movie,Minority Report,,
146,3,Hard,Movie,The Red Shoes,,
146,4,Hardest,Book,"Rabbit, Run",,X
147,1,Easy,TV,The Fresh Prince of Bel-Air,,
147,2,Medium,Movie,Ex Machina,,
147,3,Hard,Movie,A Man for All Seasons,,
147,4,Hardest,Book,Couples,,X
148,1,Easy,TV,Full House,,X
148,2,Medium,Movie,Her,,X
148,3,Hard,Movie,Becket,,X
148,4,Hardest,Book,The Centaur,,X
149,1,Easy,TV,Two and a Half Men,,
149,2,Medium,Movie,Wall Street,,
149,3,Hard,Movie,The Lion in Winter,,
149,4,Hardest,Book,Portnoy's Complaint,,X
150,1,Easy,TV,Everybody Loves Raymond,,
150,2,Medium,Movie,The Pursuit of Happyness,,
150,3,Hard,Movie,Anne of the Thousand Days,,X
150,4,Hardest,Book,American Pastoral,,
151,1,Easy,TV,That '70s Show,,X
151,2,Medium,Movie,Erin Brockovich,,
151,3,Hard,Movie,Elizabeth,,
151,4,Hardest,Book,The Human Stain,,X
152,1,Easy,TV,Malcolm in the Middle,,
152,2,Medium,Movie,Philadelphia,,
152,3,Hard,Movie,Shakespeare in Love,,
